JAR File,Vulnerable JAR File Distribution
org.eclipse.e4.ui.di_1.0.0.v20130515-1857.jar,1.0
derby-plugin.jar,1.0
icu4j-49.1.jar,1.0
myfaces-api-1.1.3.jar,1.0
org.eclipse.equinox.http.registry_1.1.300.v20130402-1529.jar,1.0
org.eclipse.e4.core.di.extensions_0.11.100.v20130514-1256.jar,1.0
org.eclipse.equinox.util_1.0.500.v20130404-1337.jar,1.0
jbossws-common-jbossws-2.0.jar,1.0
org.eclipse.equinox.p2.publisher_1.3.0.v20130509-0110.jar,1.0
JRefactory.jar,1.0
svnClientAdapter-1.6.0.jar,1.0
scout.jar,1.0
org.eclipse.core.filebuffers_3.5.300.v20130225-1821.jar,1.0
mm.mysql-2.0.14.jar,1.0
bcel.jar,1.0
org.eclipse.equinox.bidi_0.10.0.v20130327-1442.jar,1.0
velocity-tools-1.3.jar,1.0
org.apache.httpcomponents.httpclient_4.1.3.v201209201135.jar,1.0
org.eclipse.ui.navigator.resources_3.4.500.v20130516-1049.jar,1.0
poi-3.0.1-FINAL-20070705.jar,1.0
org.eclipse.debug.ui_3.9.0.v20130516-1713.jar,1.0
struts-1.2.4.jar,1.0
acegi-security-1.0.1.jar,1.0
org.eclipse.ui.navigator_3.5.300.v20130517-0139.jar,1.0
commons-fileupload-1.0.jar,2.0
org.eclipse.equinox.p2.artifact.repository_1.1.200.v20130515-2028.jar,1.0
org.eclipse.swt_3.102.0.v20130605-1539.jar,1.0
jakarta-slide-webdavlib-2.1.jar,1.0
javassist.jar,1.0
mail-plugin.jar,2.0
jsf-facelets-1.1.15.B1.jar,1.0
org.eclipse.e4.core.services_1.1.0.v20130515-1343.jar,1.0
org.eclipse.equinox.p2.transport.ecf_1.1.0.v20130516-1858.jar,1.0
nexus-indexer-2.0.0-shaded.jar,1.0
org.eclipse.core.filesystem_1.4.0.v20130514-1240.jar,1.0
getopt.jar,1.0
jaxws-rt.jar,1.0
logging-monitor.jar,1.0
jboss-saaj-4.2.2.jar,1.0
org.eclipse.core.jobs_3.5.300.v20130429-1813.jar,1.0
CrystalReportEngine.jar,1.0
org.eclipse.e4.ui.css.core_0.10.100.v20130515-1857.jar,1.0
org.eclipse.ui.net_1.2.200.v20120807-0927.jar,1.0
org.mortbay.jetty.jar,1.0
poi-3.2-FINAL-20081019.jar,1.0
batik-util-1.7.jar,2.0
org.eclipse.ecf.provider.filetransfer.httpclient4_1.0.300.v20130604-1622.jar,1.0
jakarta-slide-webdavlib.jar,1.0
org.eclipse.equinox.console_1.0.100.v20130429-0953.jar,1.0
org.eclipse.cvs_1.4.0.v20130605-2000.jar,1.0
richfaces-api-3.3.0.GA.jar,1.0
el-api.jar,1.0
org.eclipse.equinox.p2.ui.sdk_1.0.300.v20130503-1750.jar,1.0
org.eclipse.equinox.common_3.6.200.v20130402-1505.jar,1.0
jboss-logging-3.1.0.GA.jar,1.0
jasper-runtime-tomcat-4.1.30.jar,1.0
jbossjta.jar,1.0
org.eclipse.e4.ui.css.swt_0.11.0.v20130515-1857.jar,1.0
jbossha-client.jar,1.0
console-mgr-classes.jar,2.0
spring-core-2.5.6.jar,2.0
commons-httpclient-3.0.jar,1.0
commons-daemon.jar,2.0
org.eclipse.equinox.p2.touchpoint.eclipse_2.1.200.v20130327-2119.jar,1.0
org.eclipse.team.core_3.7.0.v20130514-1224.jar,1.0
org.eclipse.pde.ui_3.8.0.v20130515-1659.jar,1.0
org.eclipse.core.resources.win32.x86_3.5.100.v20100505-1741.jar,1.0
org.eclipse.equinox.p2.updatesite_1.0.400.v20130515-2028.jar,1.0
mail.jar,9.0
org.eclipse.equinox.p2.engine_2.3.0.v20130526-2122.jar,1.0
jsr299-api.jar,1.0
jcommon.jar,1.0
org.eclipse.core.databinding.property_1.4.200.v20130515-1857.jar,1.0
commons-fileupload-1.2.1.jar,2.0
log4j-boot.jar,1.0
org.eclipse.equinox.p2.operations_2.3.0.v20130603-1809.jar,1.0
org.eclipse.ui.browser_3.4.100.v20130527-1656.jar,1.0
joramtests.jar,1.0
catalina.jar,1.0
jrockit-pluggable-instrumentor.jar,1.0
org.eclipse.equinox.http.jetty_3.0.100.v20130327-1442.jar,1.0
javassist-2.6.ga.jar,1.0
org.eclipse.jdt.compiler.tool_1.0.200.v20130530-1010.jar,1.0
js_mail-1.4.jar,1.0
org.eclipse.team.ui_3.7.0.v20130514-1224.jar,1.0
mysql-connector.jar,1.0
org.eclipse.e4.core.commands_0.10.2.v20130515-1857.jar,1.0
tomcat-jk2.jar,1.0
trove.jar,1.0
buildmagic-tasks.jar,1.0
